time(days),prey(ind/m3),predator(ind/m3)
8.191638327665533836e+01,9.997401524230942016e+01,1.751385846397390464e-02
8.201640328065613517e+01,9.997420140977101255e+01,1.738839527426327275e-02
8.211642328465693197e+01,9.997438624233497251e+01,1.726383149875067302e-02
8.221644328865772877e+01,9.997456974959105480e+01,1.714016068028752920e-02
8.231646329265852557e+01,9.997475194106058893e+01,1.701737640733615511e-02
8.241648329665933659e+01,9.997493282619119270e+01,1.689547231613363135e-02
8.251650330066013339e+01,9.997511241435915963e+01,1.677444209103485726e-02
8.261652330466093019e+01,9.997529071487569752e+01,1.665427946048265648e-02
8.271654330866172700e+01,9.997546773698695688e+01,1.653497819698935417e-02
8.281656331266253801e+01,9.997564348987397409e+01,1.641653211713676314e-02
8.291658331666333481e+01,9.997581798265274244e+01,1.629893508157624279e-02
8.301660332066413162e+01,9.997599122437416952e+01,1.618218099502859511e-02
8.311662332466492842e+01,9.997616322402407718e+01,1.606626380628414091e-02
8.321664332866573943e+01,9.997633399052321579e+01,1.595117750820268174e-02
8.331666333266653623e+01,9.997650353272875634e+01,1.583691613605453172e-02
8.341668333666733304e+01,9.997667185942948720e+01,1.572347376955409229e-02
8.351670334066812984e+01,9.997683897934784625e+01,1.561084453314953019e-02
8.361672334466894085e+01,9.997700490114578997e+01,1.549902259228940274e-02
8.371674334866973766e+01,9.997716963342467977e+01,1.538800215340637920e-02
8.381676335267053446e+01,9.997733318472536723e+01,1.527777746391715749e-02
8.391678335667133126e+01,9.997749556352816569e+01,1.516834281222252667e-02
8.401680336067214228e+01,9.997765677825283603e+01,1.505969252770732875e-02
8.411682336467293908e+01,9.997781683725858670e+01,1.495182098074052286e-02
8.421684336867373588e+01,9.997797574884414473e+01,1.484472258267509857e-02
8.431686337267453268e+01,9.997813352124907738e+01,1.473839178430075628e-02
8.441688337667532949e+01,9.997829016264950042e+01,1.463282307775505900e-02
8.451690338067614050e+01,9.997844568115993980e+01,1.452801099676554776e-02
8.461692338467693730e+01,9.997860008483851857e+01,1.442395011319089378e-02
8.471694338867773411e+01,9.997875338168709902e+01,1.432063503700637883e-02
